timestamp_utc,model,model_sha256,requested_device,execution_provider,runtime,runtime_version,inference_precision,host_arch,host_os,backend_name,runs,cache_dir,load_seconds,cold_load_seconds,hot_load_seconds,mean_infer_ms,median_infer_ms,p90_infer_ms,model_size_mb,eval_samples,correct,accuracy,max_abs_p_diff,ep_nodes,cpu_nodes,cpu_offload_pct,cpu_offload_ops,assigned_ops_cpu,assigned_ops_npu,operation_assignment_source,power_source,eval_detail,status,requested_provider,resolved_provider,fallback_occurred,provider_attempts,measurement_purpose,execution_profile,graph_role,environment_snapshot_id,model_compilation_provenance_ids,error
,fakeaudio,,NPU,QNNExecutionProvider,onnxruntime-qnn,1.27.0,,arm64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,17.3227,17.3227,,127.723,128.255,132.799,127.845,5,4,0.8,0.932525,1,0,0,,,,,battery,deepfake_1|deepfake|deepfake|0.979919|0.999951;deepfake_2|deepfake|deepfake|0.959345|0.998115;real_1|real|deepfake|0.999656|0.999452;real_2|real|real|0.065905|0.998430;real_3|real|real|0.438004|0.004814,,,,,,,,,,,
,fakeaudio-bb-fp32,,NPU,QNNExecutionProvider,onnxruntime-qnn,1.27.0,,arm64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,11.2071,11.2071,,114.939,115.045,119.443,123.676,5,3,0.6,0.000839169,1,0,0,,,,,battery,deepfake_1|deepfake|deepfake|0.999947|0.999951;deepfake_2|deepfake|deepfake|0.998062|0.998115;real_1|real|deepfake|0.999474|0.999452;real_2|real|deepfake|0.998221|0.998430;real_3|real|real|0.005653|0.004814,,,,,,,,,,,
,tsc,,NPU,QNNExecutionProvider,onnxruntime-qnn,1.27.0,,arm64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,13.9639,13.9639,,20.499,19.978,22.279,328.565,15,14,0.933333,0.0473105,1,0,0,,,,,battery,scam_0|scam|clean|0.022977|0.036887;scam_1|scam|scam|0.999977|0.999978;scam_2|scam|scam|0.899298|0.909333;scam_3|scam|scam|0.999205|0.999245;scam_4|scam|scam|0.999831|0.999844;scam_5|scam|scam|0.986623|0.990409;scam_6|scam|scam|0.971211|0.972070;scam_7|scam|scam|0.893123|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.008864|0.013057;clean_13|clean|clean|0.000695|0.000701;clean_14|clean|clean|0.001793|0.001439,,,,,,,,,,,
,tsc,,CPU,CPUExecutionProvider,onnxruntime,1.25.1,,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,0.367603,0.367603,,129.981,125.116,145.245,328.565,15,14,0.933333,1.92312e-06,0,219,100,"Add x8, Cast x4, CumSum x1, Equal x1, Expand x1, FusedGemm x1, FusedMatMul x6, Gather x3, Gelu x6, Gemm x37, MatMul x6, Mul x1, Not x1, Reshape x96, SkipLayerNormalization x13, Softmax x6, Sub x1, Transpose x24, Unsqueeze x2, Where x1",,,,battery,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909333|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990409|0.990409;scam_6|scam|scam|0.972070|0.972070;scam_7|scam|scam|0.940432|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013058|0.013057;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439,,,,,,,,,,,
,fakeaudio,,CPU,CPUExecutionProvider,onnxruntime,1.25.1,,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,0.425888,0.425888,,88.9359,85.3004,104.575,127.845,5,3,0.6,2.15707e-08,0,512,100,"Add x41, BatchNormalization x1, Clip x1, Concat x23, Conv x3, Div x1, Flatten x1, FusedGemm x2, FusedMatMul x12, Gelu x13, Gemm x50, GlobalAveragePool x1, LayerNormalization x29, Log x1, MatMul x17, Mul x1, Pad x1, Pow x2, ReorderOutput x1, Reshape x151, Resize x1, SkipLayerNormalization x1, Slice x18, Softmax x12, Split x32, Squeeze x36, Transpose x57, Unsqueeze x3",,,,battery,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998115|0.998115;real_1|real|deepfake|0.999452|0.999452;real_2|real|deepfake|0.998430|0.998430;real_3|real|real|0.004814|0.004814,,,,,,,,,,,
,tsc,,GPU,DmlExecutionProvider,onnxruntime-directml,1.25.1,,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,0.496903,0.496903,,62.4158,62.1155,65.6778,328.565,15,14,0.933333,0.000306238,1,0,0,,,,,battery,scam_0|scam|clean|0.036580|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909418|0.909333;scam_3|scam|scam|0.999246|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990415|0.990409;scam_6|scam|scam|0.971938|0.972070;scam_7|scam|scam|0.940415|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013069|0.013057;clean_13|clean|clean|0.000700|0.000701;clean_14|clean|clean|0.001440|0.001439,,,,,,,,,,,
,fakeaudio,,GPU,DmlExecutionProvider,onnxruntime-directml,1.25.1,,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,0.765691,0.765691,,52.6871,50.9528,61.3277,127.845,5,3,0.6,5.94143e-06,4,1,20,Resize x1,,,,battery,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998114|0.998115;real_1|real|deepfake|0.999451|0.999452;real_2|real|deepfake|0.998428|0.998430;real_3|real|real|0.004820|0.004814,,,,,,,,,,,
,tsc,,NPU,VitisAIExecutionProvider,onnxruntime-vitisai,1.25.1,,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,4.02311,4.02311,,32.0282,31.8179,32.7148,328.565,15,14,0.933333,0.0567954,1,13,92.86,"Add x1, Cast x3, CumSum x1, Equal x1, Expand x1, Gather x2, Mul x1, Not x1, Unsqueeze x2",,,,battery,scam_0|scam|clean|0.012821|0.036887;scam_1|scam|scam|0.999983|0.999978;scam_2|scam|scam|0.914901|0.909333;scam_3|scam|scam|0.999464|0.999245;scam_4|scam|scam|0.999815|0.999844;scam_5|scam|scam|0.993096|0.990409;scam_6|scam|scam|0.982955|0.972070;scam_7|scam|scam|0.883638|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000002|0.000003;clean_12|clean|clean|0.022629|0.013057;clean_13|clean|clean|0.000527|0.000701;clean_14|clean|clean|0.000955|0.001439,,,,,,,,,,,
,fakeaudio,,NPU,VitisAIExecutionProvider,onnxruntime-vitisai,1.25.1,,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,,1.92887,1.92887,,81.8014,82.8103,89.5556,127.845,5,4,0.8,0.992875,1,20,95.24,"Add x1, BatchNormalization x1, Clip x1, Conv x2, Div x1, Log x1, MatMul x1, Mul x1, Pad x1, Pow x2, Resize x1, Transpose x4, Unsqueeze x3",,,,battery,deepfake_1|deepfake|deepfake|0.995601|0.999951;deepfake_2|deepfake|deepfake|0.901575|0.998115;real_1|real|deepfake|0.965381|0.999452;real_2|real|real|0.005555|0.998430;real_3|real|real|0.018547|0.004814,,,,,,,,,,,
,tsc,90f2ed1b3f1a469f36e416ceeb6121da8de72152f69c61e5a14865ee045834e0,NPU,openvino,onnxruntime-openvino,1.24.1,,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,C:\Users\Ondrej Dobias\.cursor\worktrees\whisper-npu-hal\tfkb\build\cache\tsc\npu,8.11366,8.11366,0.547406,8.02227,7.7466,8.42506,328.565,15,14,0.933333,0.00665452,1,0,0,,,,,battery,scam_0|scam|clean|0.036459|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.911101|0.909333;scam_3|scam|scam|0.999234|0.999245;scam_4|scam|scam|0.999846|0.999844;scam_5|scam|scam|0.990660|0.990409;scam_6|scam|scam|0.972805|0.972070;scam_7|scam|scam|0.947088|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013929|0.013057;clean_13|clean|clean|0.000714|0.000701;clean_14|clean|clean|0.001405|0.001439,ok,openvino,openvino,false,"[{""provider"":""openvino"",""success"":true,""error"":""""}]",,,,,,
